Generators,Mode,Cents,Closest 12 edo scale,Euclidean Distance
3 9 43 51,5,0 203 307 498 904 1095,0 200 300 500 900 1100,10.149
3 17 27 43,5,0 203 406 597 806 996,0 200 400 600 800 1000,10.296
1 17 19 51,5,0 201 393 498 902 1007,0 200 400 500 900 1000,10.344
11 31 35 37,5,0 498 594 804 894 1104,0 500 600 800 900 1100,10.392
21 25 47 53,3,0 107 797 905 1005 1099,0 100 800 900 1000 1100,10.44
3 9 27 43,5,0 104 307 498 805 996,0 100 300 500 800 1000,10.488
3 19 27 51,5,0 99 404 503 608 1095,0 100 400 500 600 1100,10.724
9 17 19 27,1,0 94 193 702 801 895,0 100 200 700 800 900,10.724
9 17 27 43,4,0 99 407 498 806 905,0 100 400 500 800 900,10.724
11 31 33 37,4,0 395 594 702 893 1002,0 400 600 700 900 1000,10.863
1 19 27 51,5,0 99 393 608 902 1001,0 100 400 600 900 1000,10.909
11 31 37 39,2,0 98 307 398 901 992,0 100 300 400 900 1000,11.045
3 17 19 51,5,0 405 498 903 1008 1095,0 400 500 900 1000 1100,11.269
1 17 27 43,2,0 105 394 499 794 906,0 100 400 500 800 900,11.576
1 17 43 51,5,0 394 407 800 905 1095,0 400 400 800 900 1100,11.619
9 19 27 51,5,0 94 592 603 1101 1195,0 100 600 600 1100 1200,11.619
1 27 43 51,2,0 1 295 394 807 905,0 0 300 400 800 900,11.662
11 31 33 35,3,0 102 594 696 804 1092,0 100 600 700 800 1100,11.662
31 33 35 37,3,0 102 894 996 1092 1104,0 100 900 1000 1100 1100,11.662
3 9 17 43,1,0 308 406 498 597 905,0 300 400 500 600 900,11.747
9 17 19 51,5,0 405 498 597 1008 1106,0 400 500 600 1000 1100,11.747
1 9 27 43,2,0 204 394 598 893 906,0 200 400 600 900 900,11.874
1 9 43 51,5,0 308 393 701 904 996,0 300 400 700 900 1000,12.083
1 9 17 43,3,0 105 204 794 892 997,0 100 200 800 900 1000,12.247
11 31 33 39,2,0 109 398 702 992 1100,0 100 400 700 1000 1100,12.369
17 19 27 51,5,0 99 498 608 1007 1106,0 100 500 600 1000 1100,12.41
31 33 37 39,3,0 198 802 1001 1092 1109,0 200 800 1000 1100 1100,12.41
11 13 31 39,1,0 209 498 606 896 1105,0 200 500 600 900 1100,12.728
13 31 37 39,4,0 91 305 396 702 894,0 100 300 400 700 900,12.728
1 3 43 51,2,0 203 393 498 905 1009,0 200 400 500 900 1000,12.961
1 3 27 43,2,0 104 294 498 806 1009,0 100 300 500 800 1000,13.153
11 13 31 37,5,0 300 304 604 893 910,0 300 300 600 900 900,13.454
11 13 37 39,4,0 91 300 701 910 1001,0 100 300 700 900 1000,13.528
1 3 19 45,0,0 205 498 609 795 907,0 200 500 600 800 900,13.565
1 15 19 45,5,0 298 409 590 702 999,0 300 400 600 700 1000,13.784
11 31 39 49,1,0 209 395 606 793 1002,0 200 400 600 800 1000,13.964
9 17 19 43,5,0 700 793 892 1007 1106,0 700 800 900 1000 1100,14.071
1 3 9 43,5,0 308 498 806 996 1009,0 300 500 800 1000 1000,14.177
5 15 19 45,2,0 206 409 498 908 996,0 200 400 500 900 1000,14.177
9 19 27 43,5,0 94 308 592 806 899,0 100 300 600 800 900,14.177
11 33 37 39,1,0 198 208 407 498 1109,0 200 200 400 500 1100,14.213
11 35 37 39,1,0 96 208 305 396 1109,0 100 200 300 400 1100,14.213
17 19 27 43,5,0 193 407 592 806 998,0 200 400 600 800 1000,14.213
1 3 17 43,5,0 407 498 905 1010 1095,0 400 500 900 1000 1100,14.248
13 29 41 49,5,0 103 292 411 600 703,0 100 300 400 600 700,14.248
11 31 35 39,3,0 209 396 803 990 1199,0 200 400 800 1000 1200,14.387
31 35 37 39,4,0 96 803 899 990 1109,0 100 800 900 1000 1100,14.387
31 37 39 49,4,0 91 408 499 805 894,0 100 400 500 800 900,14.387
23 29 41 49,1,0 199 309 799 908 1108,0 200 300 800 900 1100,14.526
3 19 27 43,4,0 191 395 405 609 799,0 200 400 400 600 800,14.595
11 13 31 33,1,0 108 289 397 702 896,0 100 300 400 700 900,14.629
13 31 33 37,3,0 198 304 503 611 1092,0 200 300 500 600 1100,14.629
19 27 43 51,3,0 296 592 691 806 905,0 300 600 700 800 900,14.9
1 9 19 45,4,0 93 610 703 907 996,0 100 600 700 900 1000,14.933
11 13 33 39,4,0 0 290 499 702 911,0 0 300 500 700 900,15.033
3 9 19 43,4,0 93 308 795 1009 1103,0 100 300 800 1000 1100,15.1
17 19 43 51,4,0 192 407 691 905 1097,0 200 400 700 900 1100,15.1
9 19 43 51,3,0 202 295 510 892 1106,0 200 300 500 900 1100,15.133
13 29 39 49,0,0 206 395 498 908 1010,0 200 400 500 900 1000,15.133
13 31 33 39,0,0 108 498 606 895 910,0 100 500 600 900 900,15.133
13 23 29 49,1,0 110 189 299 402 1098,0 100 200 300 400 1100,15.166
3 19 43 51,3,0 190 295 405 509 700,0 200 300 400 500 700,15.199
11 13 31 49,5,0 504 606 793 911 1097,0 500 600 800 900 1100,15.199
11 13 39 49,5,0 106 208 395 910 1097,0 100 200 400 900 1100,15.297
13 23 41 49,5,0 103 199 302 411 1090,0 100 200 300 400 1100,15.33
31 33 35 39,5,0 102 210 289 397 499,0 100 200 300 400 500,15.33
13 31 37 49,4,0 103 408 589 894 997,0 100 400 600 900 1000,15.46
1 17 19 45,4,0 192 610 802 907 1095,0 200 600 800 900 1100,15.556
3 17 19 43,4,0 190 405 793 1008 1198,0 200 400 800 1000 1200,15.556
1 5 19 45,4,0 89 610 698 902 996,0 100 600 700 900 1000,15.652
1 19 27 43,4,0 97 395 609 689 903,0 100 400 600 700 900,15.652
1 17 19 43,0,0 192 297 406 511 704,0 200 300 400 500 700,15.684
13 33 37 39,3,0 198 289 611 702 900,0 200 300 600 700 900,15.811
13 37 39 49,2,0 91 103 194 590 805,0 100 100 200 600 800,15.843
1 9 19 43,0,0 93 297 307 511 605,0 100 300 300 500 600,15.906
1 19 43 51,4,0 295 510 689 903 1198,0 300 500 700 900 1200,16.093
3 17 19 45,2,0 111 192 304 597 907,0 100 200 300 600 900,16.093
31 33 39 49,0,0 108 395 503 792 910,0 100 400 500 800 900,16.186
3 15 19 45,4,0 112 405 498 791 903,0 100 400 500 800 900,16.217
11 13 31 35,5,0 305 396 701 911 990,0 300 400 700 900 1000,16.217
13 31 35 37,4,0 96 305 401 611 990,0 100 300 400 600 1000,16.217
13 39 41 49,1,0 393 702 789 805 892,0 400 700 800 800 900,16.217
1 19 27 45,2,0 292 590 608 906 1198,0 300 600 600 900 1200,16.371
3 9 19 45,5,0 293 702 994 1088 1106,0 300 700 1000 1100 1100,16.401
11 33 35 39,3,0 102 289 804 991 1093,0 100 300 800 1000 1100,16.462
33 35 37 39,4,0 96 911 1007 1098 1109,0 100 900 1000 1100 1100,16.462
1 3 17 45,4,0 105 591 603 1089 1194,0 100 600 600 1100 1200,16.492
1 3 15 45,3,0 0 111 498 702 1088,0 0 100 500 700 1100,16.523
1 5 15 19,3,0 298 702 1000 1088 1111,0 300 700 1000 1100 1100,16.523
13 29 31 49,5,0 604 793 895 908 1011,0 600 800 900 900 1000,16.583
13 31 41 49,2,0 305 407 789 892 1196,0 300 400 800 900 1200,16.583
1 19 45 51,1,0 293 509 590 807 1100,0 300 500 600 800 1100,16.703
1 3 15 19,1,0 293 405 702 791 1089,0 300 400 700 800 1100,16.733
11 13 35 37,3,0 193 290 590 804 1104,0 200 300 600 800 1100,16.763
11 13 35 39,4,0 188 397 702 911 1098,0 200 400 700 900 1100,16.793
11 37 39 49,4,0 91 300 804 1013 1104,0 100 300 800 1000 1100,16.793
1 3 9 45,3,0 92 204 591 702 1089,0 100 200 600 700 1100,16.912
11 13 33 37,3,0 91 290 590 702 1002,0 100 300 600 700 1000,17.0
1 3 27 45,4,0 204 591 794 906 1089,0 200 600 800 900 1100,17.029
13 29 39 41,4,0 412 499 601 688 1099,0 400 500 600 700 1100,17.059
1 9 15 19,0,0 93 111 205 409 996,0 100 100 200 400 1000,17.088
29 39 41 49,3,0 309 395 601 687 996,0 300 400 600 700 1000,17.088
11 13 37 49,5,0 198 300 487 911 1098,0 200 300 500 900 1100,17.263
23 29 39 49,4,0 110 396 402 687 797,0 100 400 400 700 800,17.263
1 3 45 51,4,0 105 591 695 807 1089,0 100 600 700 800 1100,17.349
23 39 41 49,2,0 87 110 196 396 1001,0 100 100 200 400 1000,17.378
1 3 19 43,4,0 190 405 689 903 1093,0 200 400 700 900 1100,17.436
3 19 27 45,5,0 204 292 496 608 1088,0 200 300 500 600 1100,17.436
1 5 15 45,1,0 92 204 590 702 1089,0 100 200 600 700 1100,17.464
13 31 33 49,3,0 103 408 788 1092 1195,0 100 400 800 1100 1200,17.493
3 5 19 45,5,0 204 795 999 1088 1111,0 200 800 1000 1100 1100,17.521
13 31 33 35,5,0 102 210 787 895 997,0 100 200 800 900 1000,17.521
3 19 45 51,4,0 105 293 397 509 1088,0 100 300 400 500 1100,17.55
13 35 37 39,3,0 96 187 611 702 798,0 100 200 600 700 800,17.72
11 31 37 49,5,0 300 407 707 893 1013,0 300 400 700 900 1000,17.776
11 33 39 49,4,0 187 396 702 911 1097,0 200 400 700 900 1100,17.861
13 23 29 39,4,0 212 402 498 687 900,0 200 400 500 700 900,17.916
29 31 39 49,5,0 292 407 687 802 1094,0 300 400 700 800 1100,17.944
13 23 31 49,3,0 109 212 793 895 1005,0 100 200 800 900 1000,18.0
7 33 35 47,4,0 102 387 612 897 999,0 100 400 600 900 1000,18.083
33 35 37 47,5,0 492 588 690 1002 1104,0 500 600 700 1000 1100,18.111
1 9 15 45,3,0 203 498 702 813 1088,0 200 500 700 800 1100,18.166
1 15 17 19,5,0 112 192 304 409 1095,0 100 200 300 400 1100,18.166
1 3 5 45,5,0 204 498 702 813 1088,0 200 500 700 800 1100,18.358
3 5 15 19,0,0 88 404 498 813 902,0 100 400 500 800 900,18.358
13 23 39 49,2,0 592 702 805 988 1090,0 600 700 800 1000 1100,18.358
13 23 39 41,0,0 199 701 901 987 1113,0 200 700 900 1000 1100,18.466
9 15 19 45,5,0 405 498 791 814 1106,0 400 500 800 800 1100,18.493
13 29 31 39,5,0 190 305 688 803 992,0 200 300 700 800 1000,18.493
31 39 41 49,4,0 87 408 494 803 892,0 100 400 500 800 900,18.493
1 9 17 45,1,0 105 387 492 591 1102,0 100 400 500 600 1100,18.52
11 33 35 47,1,0 396 498 510 612 1009,0 400 500 500 600 1000,18.574
9 17 19 45,3,0 99 192 814 907 1006,0 100 200 800 900 1000,18.601
13 33 35 39,4,0 187 413 600 702 1098,0 200 400 600 700 1100,18.601
11 13 33 49,1,0 187 413 599 702 1098,0 200 400 600 700 1100,18.628
13 23 29 41,1,0 10 199 411 798 1011,0 0 200 400 800 1000,18.628
11 31 33 49,1,0 108 186 294 702 793,0 100 200 300 700 800,18.682
31 33 37 49,3,0 198 407 606 714 1092,0 200 400 600 700 1100,18.682
9 19 45 51,0,0 304 596 690 813 907,0 300 600 700 800 900,18.708
1 9 45 51,0,0 6 393 596 609 813,0 0 400 600 600 800,18.735
3 9 15 19,0,0 93 409 498 813 907,0 100 400 500 800 900,18.762
1 9 27 45,1,0 294 498 609 813 1108,0 300 500 600 800 1100,18.815
1 15 19 51,1,0 398 510 791 807 1089,0 400 500 800 800 1100,18.841
33 37 39 49,3,0 198 289 714 805 1003,0 200 300 700 800 1000,18.841
3 15 17 19,4,0 194 387 603 791 1008,0 200 400 600 800 1000,18.947
1 15 19 27,3,0 112 294 410 592 704,0 100 300 400 600 700,18.974
13 31 35 39,4,0 187 305 492 702 990,0 200 300 500 700 1000,19.026
13 33 39 49,2,0 103 289 392 788 805,0 100 300 400 800 800,19.053
9 19 27 45,2,0 292 386 608 702 994,0 300 400 600 700 1000,19.079
11 13 33 35,2,0 102 289 391 788 804,0 100 300 400 800 800,19.131
5 9 19 45,1,0 94 204 298 387 1112,0 100 200 300 400 1100,19.209
3 9 15 45,1,0 0 386 498 701 813,0 0 400 500 700 800,19.235
11 35 39 49,4,0 187 396 804 1013 1199,0 200 400 800 1000 1200,19.261
1 3 5 15,5,0 0 387 498 702 814,0 0 400 500 700 800,19.313
7 21 35 47,1,0 192 387 690 702 1006,0 200 400 700 700 1000,19.313
17 19 45 51,0,0 205 498 690 714 907,0 200 500 700 700 900,19.339
11 31 35 49,2,0 186 210 396 793 804,0 200 200 400 800 800,19.416
13 29 31 41,2,0 296 411 601 896 1085,0 300 400 600 900 1100,19.468
13 33 37 49,5,0 413 486 899 1002 1097,0 400 500 900 1000 1100,19.468
31 35 39 49,4,0 187 408 595 805 990,0 200 400 600 800 1000,19.57
23 31 39 49,2,0 109 397 507 793 914,0 100 400 500 800 900,19.596
1 3 9 15,3,0 204 387 591 702 1089,0 200 400 600 700 1100,19.774
3 15 19 51,4,0 105 387 510 791 896,0 100 400 500 800 900,19.774
13 33 35 37,4,0 96 413 509 611 1098,0 100 400 500 600 1100,19.774
31 35 37 49,4,0 96 408 504 714 990,0 100 400 500 700 1000,19.799
1 17 45 51,1,0 393 498 609 714 1108,0 400 500 600 700 1100,19.849
1 3 15 17,2,0 105 387 492 604 1089,0 100 400 500 600 1100,19.875
1 17 27 45,1,0 294 399 609 714 1009,0 300 400 600 700 1000,19.875
5 15 25 53,0,0 214 386 601 701 1099,0 200 400 600 700 1100,19.875
13 23 29 31,3,0 115 304 799 988 1103,0 100 300 800 1000 1100,19.875
15 17 19 45,5,0 193 409 485 702 894,0 200 400 500 700 900,19.875
13 31 39 41,2,0 397 411 809 896 1113,0 400 400 800 900 1100,19.9
3 9 17 45,2,0 98 111 210 597 813,0 100 100 200 600 800,20.075
17 19 27 45,2,0 292 485 608 801 1093,0 300 500 600 800 1100,20.075
29 31 41 49,4,0 193 485 600 793 909,0 200 500 600 800 900,20.1
3 15 17 45,0,0 386 498 603 714 1101,0 400 500 600 700 1100,20.149
1 15 17 45,5,0 112 485 597 702 1095,0 100 500 600 700 1100,20.174
21 33 35 47,4,0 315 588 903 1005 1098,0 300 600 900 1000 1100,20.174
35 37 39 49,3,0 96 187 714 805 901,0 100 200 700 800 900,20.174
11 13 35 49,4,0 103 397 499 686 1014,0 100 400 500 700 1000,20.273
23 29 31 49,2,0 6 115 407 799 1090,0 0 100 400 800 1100,20.273
3 15 19 27,5,0 204 386 608 790 994,0 200 400 600 800 1000,20.298
31 33 35 47,2,0 108 210 588 690 798,0 100 200 600 700 800,20.298
5 17 19 45,1,0 193 204 397 486 1112,0 200 200 400 500 1100,20.347
7 11 35 47,4,0 304 397 700 814 1086,0 300 400 700 800 1100,20.421
7 35 37 47,3,0 96 303 400 786 814,0 100 300 400 800 800,20.421
13 31 35 49,4,0 103 408 686 990 1093,0 100 400 700 1000 1100,20.445
13 35 37 49,2,0 96 103 199 686 714,0 100 100 200 700 700,20.445
13 23 31 41,0,0 199 304 503 715 987,0 200 300 500 700 1000,20.494
1 27 45 51,0,0 98 315 393 609 708,0 100 300 400 600 700,20.567
1 5 9 45,3,0 0 204 386 814 996,0 0 200 400 800 1000,20.591
1 15 27 45,2,0 204 315 498 906 1088,0 200 300 500 900 1100,20.616
3 9 45 51,4,0 105 387 491 603 1088,0 100 400 500 600 1100,20.688
15 19 27 45,4,0 94 410 592 702 885,0 100 400 600 700 900,20.712
29 31 39 41,0,0 86 115 202 599 802,0 100 100 200 600 800,20.736
1 5 9 19,4,0 93 814 907 996 1111,0 100 800 900 1000 1100,20.761
7 25 35 47,4,0 196 511 707 814 1093,0 200 500 700 800 1100,20.761
3 9 27 45,4,0 204 387 590 702 1088,0 200 400 600 700 1100,20.809
3 15 27 45,5,0 499 702 814 885 997,0 500 700 800 900 1000,20.857
9 15 17 19,5,0 99 192 315 409 508,0 100 200 300 400 500,20.857
23 31 41 49,2,0 109 484 593 793 1001,0 100 500 600 800 1000,20.881
1 3 5 19,5,0 410 498 796 814 1111,0 400 500 800 800 1100,20.905
3 5 9 45,1,0 203 315 386 498 702,0 200 300 400 500 700,20.928
1 5 17 19,4,0 192 814 1006 1095 1111,0 200 800 1000 1100 1100,21.024
7 35 47 53,4,0 95 511 606 814 992,0 100 500 600 800 1000,21.024
1 5 9 15,5,0 204 315 386 498 702,0 200 300 400 500 700,21.095
3 17 45 51,4,0 105 486 590 702 1089,0 100 500 600 700 1100,21.119
31 35 37 47,3,0 210 306 690 786 996,0 200 300 700 800 1000,21.166
11 13 29 39,5,0 190 209 398 688 911,0 200 200 400 700 900,21.213
13 29 37 39,0,0 91 512 589 1010 1102,0 100 500 600 1000 1100,21.213
9 15 19 51,3,0 315 409 597 690 1006,0 300 400 600 700 1000,21.237
19 27 45 51,1,0 99 316 691 908 1007,0 100 300 700 900 1000,21.237
11 35 37 47,2,0 96 114 211 511 900,0 100 100 200 500 900,21.307
3 17 27 45,4,0 204 486 689 801 1089,0 200 500 700 800 1100,21.331
5 9 15 19,4,0 93 702 795 884 1111,0 100 700 800 900 1100,21.331
9 15 17 45,5,0 99 315 485 702 800,0 100 300 500 700 800,21.331
1 3 15 27,3,0 112 294 814 996 1108,0 100 300 800 1000 1100,21.354
21 25 35 47,5,0 108 302 690 885 992,0 100 300 700 900 1000,21.378
5 15 21 53,3,0 402 498 901 985 1115,0 400 500 900 1000 1100,21.424
23 29 31 39,0,0 115 285 401 798 802,0 100 300 400 800 800,21.424
3 5 15 45,5,0 204 386 590 702 1088,0 200 400 600 700 1100,21.448
31 33 35 49,5,0 102 210 684 792 894,0 100 200 700 800 900,21.448
11 31 35 47,3,0 96 210 607 690 1086,0 100 200 600 700 1100,21.471
1 3 15 51,3,0 105 386 807 1088 1193,0 100 400 800 1100 1200,21.517
1 5 17 45,3,0 105 386 715 996 1101,0 100 400 700 1000 1100,21.517
21 35 37 47,3,0 96 315 786 1005 1101,0 100 300 800 1000 1100,21.517
33 35 39 49,4,0 187 516 703 805 1098,0 200 500 700 800 1100,21.517
5 19 27 45,1,0 204 592 796 885 1112,0 200 600 800 900 1100,21.564
13 23 31 39,2,0 212 397 610 896 914,0 200 400 600 900 900,21.564
1 5 27 45,3,0 315 386 702 905 996,0 300 400 700 900 1000,21.587
1 9 15 51,2,0 111 315 393 597 708,0 100 300 400 600 700,21.633
7 11 33 47,1,0 114 284 398 702 897,0 100 300 400 700 900,21.656
7 33 37 47,3,0 198 303 502 786 916,0 200 300 500 800 900,21.656
11 35 37 49,3,0 90 187 487 804 1104,0 100 200 500 800 1100,21.679
5 25 45 53,0,0 103 203 386 916 1099,0 100 200 400 900 1100,21.703
1 5 19 51,5,0 305 393 691 814 1111,0 300 400 700 800 1100,21.726
1 9 15 17,5,0 99 111 210 315 1095,0 100 100 200 300 1100,21.726
5 21 25 53,4,0 302 387 403 487 789,0 300 400 400 500 800,21.726
1 9 43 45,5,0 303 610 689 814 893,0 300 600 700 800 900,21.794
11 13 29 49,3,0 187 290 909 1011 1198,0 200 300 900 1000 1200,21.794
1 5 19 27,2,0 88 386 608 906 994,0 100 400 600 900 1000,21.817
3 5 17 45,1,0 204 315 485 597 801,0 200 300 500 600 800,21.817
1 15 45 51,2,0 105 216 498 807 1088,0 100 200 500 800 1100,21.863
5 15 17 19,0,0 88 216 305 498 1007,0 100 200 300 500 1000,21.863
3 15 45 51,0,0 104 216 386 498 603,0 100 200 400 500 600,21.932
11 29 39 49,5,0 209 292 500 687 1013,0 200 300 500 700 1000,21.977
13 29 37 49,1,0 189 292 611 713 903,0 200 300 600 700 900,22.0
29 37 39 49,5,0 201 292 687 713 1109,0 200 300 700 700 1100,22.0
1 9 15 27,1,0 590 702 885 906 1089,0 600 700 900 900 1100,22.045
9 15 27 45,4,0 0 316 499 702 885,0 0 300 500 700 900,22.045
5 7 25 53,2,0 95 196 713 814 909,0 100 200 700 800 900,22.068
23 29 39 41,4,0 87 402 488 687 1001,0 100 400 500 700 1000,22.068
23 31 39 41,3,0 199 285 716 802 1001,0 200 300 700 800 1000,22.068
1 3 43 45,5,0 112 190 610 688 800,0 100 200 600 700 800,22.091
9 15 19 27,4,0 316 410 498 592 908,0 300 400 500 600 900,22.091
3 5 9 15,3,0 0 315 498 702 884,0 0 300 500 700 900,22.113
5 15 21 25,5,0 85 316 400 702 898,0 100 300 400 700 900,22.113
7 21 33 35,5,0 285 316 600 702 1098,0 300 300 600 700 1100,22.113
11 31 33 47,3,0 108 588 607 1086 1194,0 100 600 600 1100 1200,22.113
31 33 37 47,1,0 306 414 612 893 1092,0 300 400 600 900 1100,22.113
3 5 17 19,4,0 89 604 692 885 1008,0 100 600 700 900 1000,22.136
11 33 37 49,4,0 187 487 702 1002 1188,0 200 500 700 1000 1200,22.136
15 17 19 51,1,0 293 510 702 791 984,0 300 500 700 800 1000,22.136
3 9 43 45,5,0 112 190 813 892 1004,0 100 200 800 900 1000,22.204
21 35 47 53,4,0 108 316 510 797 992,0 100 300 500 800 1000,22.204
13 33 35 49,4,0 102 515 684 1097 1199,0 100 500 700 1100 1200,22.249
1 19 43 45,0,0 214 292 511 590 804,0 200 300 500 600 800,22.293
11 21 35 47,4,0 114 195 804 884 998,0 100 200 800 900 1000,22.293
1 17 43 45,5,0 204 610 689 715 794,0 200 600 700 700 800,22.316
3 19 43 45,5,0 112 190 907 986 1097,0 100 200 900 1000 1100,22.316
11 13 41 49,4,0 187 290 309 412 598,0 200 300 300 400 600,22.316
13 37 41 49,2,0 309 412 487 590 898,0 300 400 500 600 900,22.316
13 35 39 49,2,0 103 187 290 686 805,0 100 200 300 700 800,22.338
9 19 43 45,5,0 600 814 892 907 986,0 600 800 900 900 1000,22.472
3 5 27 45,1,0 0 203 315 884 996,0 0 200 300 900 1000,22.494
5 15 45 53,2,0 204 487 702 986 1189,0 200 500 700 1000 1200,22.494
9 17 45 51,0,0 111 498 596 714 813,0 100 500 600 700 800,22.494
7 21 33 47,1,0 90 285 588 702 1006,0 100 300 600 700 1000,22.561
13 29 31 37,0,0 115 589 704 893 1010,0 100 600 700 900 1000,22.605
25 33 35 47,4,0 102 583 612 1093 1195,0 100 600 600 1100 1200,22.605
5 25 47 53,4,0 107 208 386 487 594,0 100 200 400 500 600,22.672
9 17 27 45,1,0 387 486 702 801 1188,0 400 500 700 800 1200,22.672
3 27 45 51,4,0 105 885 989 1088 1101,0 100 900 1000 1100 1100,22.716
15 17 27 45,3,0 216 399 702 884 1101,0 200 400 700 900 1100,22.76
15 19 45 51,3,0 192 409 691 702 983,0 200 400 700 700 1000,22.782
17 19 43 45,5,0 501 715 793 907 986,0 500 700 800 900 1000,22.804
15 25 45 53,5,0 602 702 885 917 1100,0 600 700 900 900 1100,22.847
1 5 15 17,4,0 105 217 386 498 603,0 100 200 400 500 600,22.869
21 33 37 47,3,0 195 414 783 1002 1197,0 200 400 800 1000 1200,22.869
11 13 39 41,5,0 87 209 788 911 997,0 100 200 800 900 1000,22.891
13 37 39 41,5,0 87 611 697 788 1109,0 100 600 700 800 1100,22.891
1 5 45 51,2,0 216 386 603 807 996,0 200 400 600 800 1000,22.935
3 5 15 17,1,0 99 316 597 702 984,0 100 300 600 700 1000,22.935
1 3 5 27,3,0 204 387 591 885 906,0 200 400 600 900 900,22.956
11 39 41 49,4,0 86 209 891 1013 1100,0 100 200 900 1000 1100,22.956
3 9 15 51,4,0 105 387 603 885 990,0 100 400 600 900 1000,22.978
9 15 45 51,4,0 217 499 603 885 1102,0 200 500 600 900 1100,22.978
1 5 15 27,5,0 204 386 498 905 1017,0 200 400 500 900 1000,23.022
1 15 17 51,1,0 111 216 393 498 610,0 100 200 400 500 600,23.022
5 21 45 53,0,0 84 203 797 916 1001,0 100 200 800 900 1000,23.043
7 11 37 47,5,0 300 303 603 717 1085,0 300 300 600 700 1100,23.065
11 13 29 31,4,0 189 607 796 911 1085,0 200 600 800 900 1100,23.065
13 29 33 39,5,0 190 413 688 911 1100,0 200 400 700 900 1100,23.108
1 3 5 17,3,0 105 387 604 885 990,0 100 400 600 900 1000,23.13
1 15 17 27,1,0 111 216 294 399 511,0 100 200 300 400 500,23.13
5 7 21 25,1,0 85 387 702 1004 1089,0 100 400 700 1000 1100,23.13
5 15 25 45,1,0 204 387 702 885 1089,0 200 400 700 900 1100,23.13
7 11 33 35,1,0 285 387 702 804 1089,0 300 400 700 800 1100,23.13
13 23 37 49,3,0 110 212 487 589 699,0 100 200 500 600 700,23.13
15 17 19 27,3,0 217 399 410 592 809,0 200 400 400 600 800,23.13
29 31 37 39,0,0 91 115 206 512 893,0 100 100 200 500 900,23.13
29 31 37 49,3,0 292 307 599 714 1085,0 300 300 600 700 1100,23.13
33 35 39 47,5,0 401 588 690 911 1013,0 400 600 700 900 1000,23.13
